Era,Count
唐元和五年,1
武周万岁通天元年,1
唐麟德元年四月,1
唐太和四年,3
*周,2
唐太和七年,2
唐垂拱二年,1
唐天祐四年,17
唐贞观十年,1
唐元和三年,1
元至元五年,1
元至元三年,1
元大德二年,1
唐天宝十二年,2
隋大业七年,2
隋大业八年,1
唐永淳二年,1
唐显庆五年,1
唐龙朔四年,1
唐贞观十八年,1
唐元和,1
唐开元十三年,1
隋大业九年,1
隋开皇十三年,1
唐大中八年,1
唐元和十二年,1
唐会昌六年,1
唐大中七年,1
隋大业十年,1
唐大中四年,4
唐永隆二年,1
唐大顺二年,1
唐永徽五年,1
唐太和九年,1
唐乾符六年,2
武周长寿二年,1
唐大历十三年,2
唐天宝八年,1
武周长寿三年,2
唐太和五年,1
元和元年,1
唐大历十五年,1
唐咸通六年,1
唐开元四年,1
唐大中九年,1
北宋景祐三年,1
三国吴天册元年,1
三国吴黄龙元年,1
三国吴天纪,1
唐永徽四年,1
唐开元十五年,1
唐咸亨,1
唐贞元十七年,1
宋宣和二年,1
西魏大统七年,1
唐乾符元年,1
唐贞元九年,1
唐咸亨四年,1
唐永徽六年,2
武周长安三年,1
唐景龙元年,1
唐大历十一年,1
三国吴,4
北宋大观元年,1
宋景佑三年,1
武周延载元年,1
唐乾封元年,2
唐开元八年,1
唐龙朔二年,1
元至正,2
元大德七年,1
三国魏嘉平六年,1
三国魏正始三年,1
三国魏嘉平,1
隋大业十二年,1
唐中和三年,1
武周圣历二年,1
唐贞观二十一年,1
唐贞观二十四年,1
唐贞观二十二年,1
唐永徽元年,1
唐显庆元年,2
元至正九年,1
元元统三年,1
唐垂拱四年,2
唐天祐十年,1
唐贞元十一年,1
唐贞元十五年,1
唐太和三年,1
唐光启二年,1
唐乾符二年,1
唐宝历二年,1
唐中和二年,1
唐天祐十三年,1
唐咸通三年,1
唐中和元年,1
唐大历九年,1
唐开元二十三年,2
唐乾符四年,1
唐大中三年,1
唐大历三年,1
唐建中四年,1
唐太极元年,1
北宋绍圣四年,1
战沟,1
北宋元祐,1
唐甘露元年,1
周(吴三桂),12
唐贞元三年,1
周晚期,2
清道光四年,4
清咸丰九年,5
清道光乙酉年,26
清康熙戊申年,1
清嘉庆辛未年,5
清乾隆丁亥年,46
清嘉庆丙子年,23
清光绪辛巳年,4
清道光五年,4
清康熙己丑年,4
清道光壬辰年,8
清康熙甲子年,5
清康熙三十七年,1
清嘉庆癸酉年,9
清嘉庆戊寅年,25
清道光庚子年,11
清道光辛卯年,8
清道光丁酉年,5
清乾隆丙午年,9
清道光壬午年,2
清光绪甲午年,6
清嘉庆乙亥年,21
宋晚期,1
清康熙戊戌年,7
清乾隆癸巳年,148
清乾隆壬辰年,51
清康熙辛未年,55
清乾隆戊申年,83
清同治庚午年,16
清乾隆（丁酉年）,14
清乾隆丁酉年,9
清乾隆(丁酉年),81
清乾隆（丁酉年),1
1665746.0,1
明万历丙申年,1
明万历癸卯年,2
明万历辛丑年,1
明嘉靖庚子年,1
明万历庚戌年,4
明万历辛亥年,1
明崇祯初年,1
明天启壬戌年,5
清乾隆壬午年,7
清光绪六年,8
清乾隆癸亥年,3
清道光三年,5
清光绪丙申年,7
清嘉庆丙寅年,14
清道光丁未年,21
清光绪癸未年,9
清同治癸酉年,19
清乾隆乙卯年,5
清康熙晚期,39
清同治戊辰年,35
明天启甲子年,1
清道光丙戌年,13
清同治壬申年,23
清道光戊申年,9
清同治辛未年,31
清咸丰丁巳年,6
清光绪二十八年,6
清乾隆辛亥年,40
元末明初,1
清光绪甲辰年,12
清道光戊戌年,35
